date,weighted,close,high,low,open,volume
6/24/2020 21:06,207.32,207.32,208.97,206.99,208.69,146588858.3
6/25/2020 21:06,204.81,204.81,206.03,204.56,207.32,156748465.4
6/26/2020 21:06,197.28,197.28,202.51,195.19,204.81,171624809.5
6/27/2020 21:06,200.48,200.48,201.86,198.28,197.28,143059235.7
6/28/2020 21:06,202.47,202.47,203.29,199.37,200.48,199677898.8
6/29/2020 21:06,200.93,200.93,202.55,199.79,202.47,152885600.2
6/30/2020 21:06,205.4,205.4,205.9,202.04,200.93,168931533.5
7/1/2020 21:07,201.95,201.95,203.17,200.49,205.4,294301680.4
7/2/2020 21:07,200.4,200.4,201.78,200.08,201.95,233132550
7/3/2020 21:07,203.72,203.72,204.05,201.53,200.4,227098959.7
7/4/2020 21:07,203.08,203.08,203.4,200.9,203.72,207154897.5
7/5/2020 21:07,213.7,213.7,213.78,206.68,203.08,451744719.8
7/6/2020 21:07,212.61,212.61,213.77,207.44,213.7,288766522
7/7/2020 21:07,218.24,218.24,219.83,213.32,212.61,394428974.6
7/8/2020 21:07,214.84,214.84,215.57,211.72,218.24,180042566.3
7/9/2020 21:07,213.69,213.69,215.75,211.55,214.84,114158063.2
7/10/2020 21:07,212.14,212.14,213.12,210.58,213.69,92223900.14
7/11/2020 21:07,214.89,214.89,215.13,211.51,212.14,121306876.4
7/12/2020 21:07,211.46,211.46,214.47,209.34,214.89,147856774.6
7/13/2020 21:07,211.03,211.03,212.16,209.81,211.46,117313961.2
7/14/2020 21:07,209.05,209.05,209.78,206.95,211.03,106888075.3
7/15/2020 21:07,205.07,205.07,208.12,203.31,209.05,129482633.2
7/16/2020 21:07,203.95,203.95,205.8,202.99,205.07,104629278.9
7/17/2020 21:07,206.73,206.73,208.5,204.31,203.95,92823694.86
7/18/2020 21:07,209.22,209.22,209.55,205.84,206.73,103306198.3
7/19/2020 21:07,206.5,206.5,209.07,205.14,209.22,126678682.9
7/20/2020 21:07,213.35,213.35,214.33,209.92,206.5,160401427.5
7/21/2020 21:07,228.68,228.68,231.73,214.64,213.35,205678829.1
7/22/2020 21:07,237.95,237.95,242.18,228.24,228.68,325340649.9
7/23/2020 21:07,240.41,240.41,244.93,232.52,237.95,267880549.8
7/24/2020 21:07,262.6,262.6,264.85,244.16,240.41,286786334.6
7/25/2020 21:07,267.05,267.05,278.14,261.33,262.6,372628328.5
7/26/2020 21:07,273.07,273.07,304.89,268.3,267.05,629764224.4
7/27/2020 21:07,271.15,271.15,273.68,266.02,273.07,454512366.3
7/28/2020 21:07,270.46,270.46,277.54,269.51,271.15,290638595.2
7/29/2020 21:07,283.03,283.03,286.88,268.49,270.46,340093547.1
7/30/2020 21:07,294.71,294.71,298.76,288.93,283.03,398260873.4
7/31/2020 21:07,329.41,329.41,332.62,304.8,294.71,614329407.7
8/1/2020 21:08,316.1,316.1,325.5,301.43,329.41,691862592.2
8/2/2020 21:08,329.09,329.09,336.36,320.76,316.1,514356196.5
8/3/2020 21:08,330.67,330.67,335.14,326.4,329.09,438821737.7
8/4/2020 21:08,338.2,338.2,346.13,335.33,330.67,391752048.9
8/5/2020 21:08,333.35,333.35,340.3,331.56,338.2,308217909
